100 799
1 2 8
2 3 59
3 4 99
4 5 95
5 6 82
6 7 99
7 8 20
8 9 35
9 10 25
10 11 34
11 12 23
12 13 68
13 14 69
14 15 52
15 16 54
16 17 30
17 18 63
18 19 99
19 20 60
20 21 67
21 22 55
22 23 17
23 24 9
24 25 14
25 26 55
26 27 100
27 28 93
28 29 66
29 30 69
30 31 63
31 32 14
32 33 88
33 34 86
34 35 95
35 36 34
36 37 9
37 38 7
38 39 47
39 40 70
40 41 32
41 42 50
42 43 86
43 44 86
44 45 55
45 46 19
46 47 44
47 48 7
48 49 3
49 50 42
50 51 16
51 52 31
52 53 9
53 54 56
54 55 9
55 56 97
56 57 21
57 58 29
58 59 43
59 60 56
60 61 24
61 62 95
62 63 77
63 64 70
64 65 54
65 66 34
66 67 54
67 68 34
68 69 45
69 70 33
70 71 61
71 72 82
72 73 92
73 74 70
74 75 93
75 76 79
76 77 92
77 78 59
78 79 90
79 80 15
80 81 62
81 82 76
82 83 66
83 84 5
84 85 75
85 86 29
86 87 73
87 88 5
88 89 48
89 90 83
90 91 12
91 92 11
92 93 21
93 94 55
94 95 92
95 96 70
96 97 78
97 98 47
98 99 87
99 100 70
46 34 92
91 84 17
15 59 2
28 61 41
61 65 64
98 72 56
89 98 23
94 87 56
3 51 81
78 4 92
100 49 8
85 40 26
73 1 64
66 77 57
40 43 8
57 84 11
55 63 76
38 72 12
61 46 83
75 34 75
92 10 71
13 18 5
59 45 80
51 99 8
27 35 97
67 9 15
79 40 49
96 73 38
83 75 79
96 87 32
82 97 58
53 11 88
97 54 82
67 91 27
65 4 38
48 82 4
2 52 85
13 74 5
35 3 44
37 21 32
3 98 1
76 24 48
88 53 74
12 64 67
75 77 41
8 5 99
59 27 61
99 58 23
7 2 91
16 27 75
39 73 60
68 19 17
24 77 59
23 64 39
87 10 70
4 63 71
25 52 30
23 32 54
87 60 35
5 25 98
35 53 58
23 74 54
35 68 51
22 26 28
72 20 5
92 25 97
63 13 4
40 75 27
73 11 96
56 72 38
2 72 38
51 100 82
92 81 24
59 39 61
18 78 16
88 76 81
86 53 70
48 60 29
11 66 10
74 26 5
83 30 43
67 86 25
54 39 73
74 67 69
88 87 25
15 71 87
13 93 30
85 38 97
74 15 41
72 84 1
95 8 67
36 76 78
15 64 69
51 1 46
15 56 31
71 93 76
100 70 27
72 33 27
92 6 3
38 75 97
53 3 28
16 91 37
17 37 41
47 56 90
45 41 95
35 21 64
52 67 8
23 76 69
